Time data (V), Frequency (Hz), Spectrum (dBFS)
-0.057782,0.000,-102.796599
0.000171,4.000,-102.804908
-0.057992,8.000,-132.855918
-0.000423,12.000,-127.589078
-0.058007,16.000,-133.301669
-0.000870,20.000,-145.123470
-0.057880,24.000,-136.959159
-0.001046,28.000,-135.068081
-0.058122,32.000,-133.125849
-0.001089,36.000,-133.610471
-0.057686,40.000,-135.872172
-0.001026,44.000,-134.021352
-0.057866,48.000,-146.772319
-0.001132,52.000,-133.244226
-0.057792,56.000,-127.321468
-0.001102,60.000,-129.786771
-0.058004,64.000,-140.442427
-0.001175,68.000,-140.760934
-0.058028,72.000,-140.750546
-0.001139,76.000,-133.953028
-0.057937,80.000,-135.263392
-0.001208,84.000,-145.596161
-0.057608,88.000,-133.388349
-0.000623,92.000,-135.861283
-0.057880,96.000,-133.272068
0.000355,100.000,-131.131204
-0.057880,104.000,-133.431649
0.001103,108.000,-144.165821
-0.057984,112.000,-151.835267
0.001364,116.000,-147.795577
-0.057992,120.000,-134.276480
0.001403,124.000,-133.459813
-0.057898,128.000,-138.714084
0.001355,132.000,-144.355929
-0.057906,136.000,-135.012606
0.001151,140.000,-136.374227
-0.057939,144.000,-134.255333
0.000992,148.000,-131.007151
-0.057632,152.000,-139.190231
0.000825,156.000,-148.009896
-0.057710,160.000,-132.600578
0.000690,164.000,-130.033575
-0.057480,168.000,-129.634481
0.000497,172.000,-132.802849
-0.057418,176.000,-136.452856
-0.000054,180.000,-134.575297
-0.057471,184.000,-141.801792
-0.000597,188.000,-139.418683
-0.057740,192.000,-136.379238
-0.000917,196.000,-132.553015
-0.057692,200.000,-132.132730
-0.001034,204.000,-139.171379
-0.057775,208.000,-136.496913
-0.001198,212.000,-133.690269
-0.057720,216.000,-133.430663
-0.001215,220.000,-135.350653
-0.057553,224.000,-134.121308
-0.001150,228.000,-130.030869
-0.057518,232.000,-133.370314
-0.001066,236.000,-141.054124
-0.057259,240.000,-140.739254
-0.001142,244.000,-132.110046
-0.057366,248.000,-131.835334
-0.001046,252.000,-138.089994
-0.057464,256.000,-144.085210
-0.000361,260.000,-141.792432
-0.057553,264.000,-130.749643
0.000543,268.000,-128.373611
-0.057604,272.000,-130.560002
0.001038,276.000,-130.833188
-0.057418,280.000,-131.135363
0.001350,284.000,-136.949968
-0.057478,288.000,-156.357523
0.001413,292.000,-131.207461
-0.057466,296.000,-134.986265
0.001284,300.000,-133.706741
-0.057410,304.000,-140.371415
0.001101,308.000,-143.505649
-0.057461,312.000,-143.955473
0.000901,316.000,-139.197555
-0.057564,320.000,-133.430878
0.000732,324.000,-144.069183
-0.057510,328.000,-131.452895
0.000660,332.000,-134.126313
-0.057431,336.000,-137.189837
0.000274,340.000,-129.509994
-0.057319,344.000,-127.909962
-0.000341,348.000,-142.866328
-0.057129,352.000,-132.614090
-0.000678,356.000,-137.762867
-0.057153,360.000,-131.013240
-0.000920,364.000,-132.525401
-0.057269,368.000,-133.236247
-0.001026,372.000,-128.442463
-0.057268,376.000,-135.378630
-0.001126,380.000,-131.081733
-0.057470,384.000,-130.758154
-0.001224,388.000,-135.363491
-0.057375,392.000,-136.562256
-0.001200,396.000,-129.418395
-0.057015,400.000,-129.978809
-0.001161,404.000,-136.333288
-0.057237,408.000,-142.333144
-0.001159,412.000,-134.310483
-0.057542,416.000,-133.216170
-0.001258,420.000,-144.364358
-0.057642,424.000,-133.509074
-0.000790,428.000,-130.699081
